from_stop_I,to_stop_I,d,duration_avg,n_vehicles,route_type,d_walk,iswalk,route_importance,Price,rush_hour,star_reviews,Duration_Walk_min
0,1,231,38.10344828,29,5,350,TRUE,1,14,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,7.9625
0,7,160,50.890625,64,4,225,TRUE,2,6.4,No rush hours,3,2.8125
7,2,300,65.6,10,7,566,TRUE,1,6,"9:00,12:00,16:00",5,7.075
7,8,164,50.890625,64,2,225,TRUE,5,16.4,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,2.8125
1,3,403,65.6,10,1,566,TRUE,4,32.24,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,7.075
1,2,1056,298,88,4,0,FALSE,2,42.24,"9:00,12:00,16:00",3,0
2,3,500,91.61290323,155,1,537,TRUE,4,40,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,6.7125
2,23,515,91.61290323,155,2,537,TRUE,5,51.5,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,6.7125
2,8,783,133,8,0,64,TRUE,3,46.98,"9:00,12:00,16:00",0,0.8
3,5,200,32.10344828,29,5,317,TRUE,1,4,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,3.9625
5,21,301,32.10344828,29,4,317,TRUE,2,12.04,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,3.9625
5,6,200,33,15,6,219,TRUE,1,4,No rush hours,0,2.7375
5,4,218,33,15,4,219,TRUE,2,8.72,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.7375
4,6,100,24.0625,32,1,140,TRUE,4,8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,1.75
4,9,124,24.0625,32,5,140,TRUE,1,2.48,"9:00,12:00,16:00",0,1.75
4,23,1000,127.6290323,62,8,0,FALSE,5,100,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,0
23,9,800,155.95,20,9,0,FALSE,3,48,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,0
23,8,1111,127.6290323,62,6,0,FALSE,1,22.22,"9:00,12:00,16:00",2,0
8,11,1109,155.95,20,2,0,FALSE,5,110.9,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,0
8,9,1778,284,53,2,562,TRUE,5,177.8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,7.025
11,9,105,24,118,8,212,TRUE,5,10.5,"9:00,12:00,16:00",4,2.65
11,10,200,47,24,3,375,TRUE,3,12,No rush hours,5,4.6875
9,10,207,24,118,6,212,TRUE,1,4.14,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,2.65
9,6,259,47,24,6,375,TRUE,1,5.18,"9:00,12:00,16:00",4,4.6875
6,21,1041,109,10,2,0,FALSE,5,104.1,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,0
21,20,300,36.33333333,9,2,270,TRUE,5,30,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,3.375
21,22,261,36.33333333,9,1,270,TRUE,4,20.88,"9:00,12:00,16:00",2,3.375
20,19,1715,24,59,6,31,TRUE,1,34.3,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,0.3875
20,22,250,25,8,8,208,TRUE,5,25,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,2.6
