stop_I,lat,lon,"name,NumOfParking,NumOfParkedCars"
0,49.8575,-97.009,"Northbound Pembina at University Crescent,10,0"
1,49.8618,-97.0099,"Northbound Pembina at University Crescent,10,0"
2,49.8596,-97.0258,"Westbound Dufferin at Salter,40,0"
3,49.8603,-97.0116,"Eastbound Ness at St. James,0,0"
4,49.8644,-97.0175,"Northbound University at Pembina,40,0"
5,49.8655,-97.0108,"Southbound Sheppard at Burrows,0,0"
6,49.8676,-97.0219,"Northbound Westwood at Amundsen,20,0"
7,49.8573,-97.0176,"Eastbound Munroe at Louelda,40,0"
8,49.8597,-97.0387,"Northbound University at Pembina South,0,0"
9,49.8661,-97.0356,"Westbound Bishop Grandin at Pembina Crossing,0,0"
10,49.8577,-97.0452,"Westbound Scurfield at Dovercourt,20,0"
11,49.865,-97.0399,"Eastbound Scurfield at Dovercourt,40,0"
12,49.8693,-97.0470,"Eastbound Plaza at Plaza South,30,0"
13,49.8709,-97.0379,"Eastbound Plaza at Pembina,20,0"
14,49.8724,-97.0274,"Northbound Plaza at Plaza East,10,0"
15,49.8762,-97.0206,"Northbound Plaza at Plaza Terminal,40,0"
16,49.8828,-97.0158,"Westbound Plaza at Pembina,40,0"
17,49.878,-97.0114,"Westbound Plaza at Plaza West,0,0"
18,49.8815,-97.0287,"Eastbound John Angus at Gelley,0,0"
19,49.8743,-97.0201,"Eastbound Egesz at Haddon,30,0"
20,49.8729,-97.0163,"Southbound Archibald at Elizabeth,30,0"
21,49.86819,-97.0107,"Northbound Pembina at Killarney,20,0"
22,49.8719,-97.0213,"Eastbound Dollard at Tache (St. Boniface Hospital),10,0"
23,49.8624,-97.026,"Eastbound Dollard at Kenny,20,0"
24,49.88197957,-97.07874648,"Westbound Marion at Turenne,20,0"
25,49.88708075,-97.12210631,"Eastbound Despins at Valade,20,0"
26,49.88294551,-97.11285624,"Southbound Enfield at Goulet,30,0"
27,49.88331465,-97.11729657,"Northbound Traverse at Thomas Berry,10,0"
28,49.88753983,-97.11880285,"Southbound Aulneau at Despins,10,0"
29,49.88533133,-97.11851282,"Southbound Aulneau at Dollard,40,0"
30,49.89069823,-97.14900463,"Westbound Graham at Vaughan (The Bay),20,0"
